101126092968434,AXISBANK 29 Sep 26 FUT,13,625,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:AXISBANK26SEPFUT,10,11,68434,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
101126102748736,AXISBANK 27 Oct 26 FUT,13,625,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:AXISBANK26OCTFUT,10,11,48736,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
101126082558118,BAJAJ-AUTO 25 Aug 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BAJAJ-AUTO26AUGFUT,10,11,58118,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126092968435,BAJAJ-AUTO 29 Sep 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:BAJAJ-AUTO26SEPFUT,10,11,68435,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126102748737,BAJAJ-AUTO 27 Oct 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:BAJAJ-AUTO26OCTFUT,10,11,48737,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126082558119,BAJAJFINSV 25 Aug 26 FUT,13,300,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BAJAJFINSV26AUGFUT,10,11,58119,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126092968436,BAJAJFINSV 29 Sep 26 FUT,13,300,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:BAJAJFINSV26SEPFUT,10,11,68436,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126102748738,BAJAJFINSV 27 Oct 26 FUT,13,300,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:BAJAJFINSV26OCTFUT,10,11,48738,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126082558120,BAJAJHLDNG 25 Aug 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BAJAJHLDNG26AUGFUT,10,11,58120,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126092968437,BAJAJHLDNG 29 Sep 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:BAJAJHLDNG26SEPFUT,10,11,68437,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126102748739,BAJAJHLDNG 27 Oct 26 FUT,13,75,1.0,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:BAJAJHLDNG26OCTFUT,10,11,48739,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126082558121,BAJFINANCE 25 Aug 26 FUT,13,750,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BAJFINANCE26AUGFUT,10,11,58121,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126092968442,BAJFINANCE 29 Sep 26 FUT,13,750,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:BAJFINANCE26SEPFUT,10,11,68442,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126102748740,BAJFINANCE 27 Oct 26 FUT,13,750,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:BAJFINANCE26OCTFUT,10,11,48740,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126082558122,BANDHANBNK 25 Aug 26 FUT,13,3600,0.01,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BANDHANBNK26AUGFUT,10,11,58122,BANDHANBNK,2263,-1.0,XX,10100000002263,None,0,0.0
